# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Apr 30 11:20:43 CDT 2022 [seed=1651335642522]
# cytb_species.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
50000	-15439.490358007668	-24.63237207171977	-15414.857985935949	0.740886116725716	4.049141037533762	1.6082698732492768	3.262185107468793	0.29488744713992715	0.2548740632838859	0.1619914380183066	0.2882470515578803	1.0	1.0	-15414.857985935949	0.0	-23.613847216898566
51000	-15437.851202985195	-21.58973805748184	-15416.261464927713	0.7562642334351553	4.284520544544075	0.8902952039472399	3.5894306219836083	0.29105141432351317	0.2735968370584271	0.1515606608656911	0.2837910877523686	1.0	1.0	-15416.261464927713	0.0	-21.052894295539467
52000	-15443.918606526144	-22.121467814259606	-15421.797138711885	0.8009738170732319	4.368133622069764	0.9465197453663372	3.5465244987201334	0.2835689766608584	0.2621990309235526	0.17150328967632056	0.2827287027392684	1.0	1.0	-15421.797138711885	0.0	-21.53750404534441
53000	-15439.344398501431	-21.762350025784773	-15417.582048475646	0.6896502064182013	4.14041837034818	0.9436136894318914	3.2885682295441643	0.29236974582640335	0.25886274333836695	0.16270252051077563	0.2860649903244541	1.0	1.0	-15417.582048475646	0.0	-21.268006490091558
54000	-15434.658039040067	-19.60634182833808	-15415.05169721173	0.707273227720741	3.995748045174584	0.8914502479525976	3.2885682295441643	0.28528462295827745	0.25866974072741666	0.17114073050952233	0.2849049058047836	1.0	1.0	-15415.05169721173	0.0	-19.168865519111293
55000	-15431.355622226723	-19.936989830806016	-15411.418632395917	0.7250400964717966	4.1399269717775375	0.7919792035499651	3.4371429039290953	0.2885968463214904	0.26226785189522256	0.1590803481165493	0.29005495366673784	1.0	1.0	-15411.418632395917	0.0	-19.56762880229319
56000	-15432.88544460783	-21.19097982726665	-15411.694464780563	0.7389811847892829	4.224958739578854	1.0083954509851663	3.4160815808469693	0.2847431853867466	0.2661215128299664	0.1580524009850399	0.2910829007982473	1.0	1.0	-15411.694464780563	0.0	-20.587095583591935
57000	-15431.398517792315	-20.656161647370087	-15410.742356144945	0.7738668449806909	4.233234691293279	0.9400971860877178	3.6446899789471283	0.27963533195308726	0.2687288861678668	0.15621893957660263	0.29541684230244347	1.0	1.0	-15410.742356144945	0.0	-20.04681716444861
58000	-15434.502430906268	-20.43855047196975	-15414.063880434298	0.721867648065294	4.14553307961382	0.8884908609289528	3.5082573031605992	0.28892529141211304	0.2730782025759996	0.155332983675359	0.2826635223365285	1.0	1.0	-15414.063880434298	0.0	-19.930511860974136
59000	-15431.696099987323	-21.559528806882156	-15410.136571180441	0.7183080831328985	4.250645598698127	0.7966804975107821	3.7611750249721396	0.2923082772978172	0.2630956262009641	0.1566662790488537	0.28792981745236507	1.0	1.0	-15410.136571180441	0.0	-21.078032180960538
