# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Apr 30 11:20:19 CDT 2022 [seed=1651335618860]
# 16s_species.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
87000	-37052.98913846573	-20.052077799576963	-37032.937060666154	0.23356004414634257	2.7079987442377846	0.9030744706265784	2.8508504021670813	0.32431176601601797	0.25180553628938046	0.11806960800800259	0.30581308968659904	1.0	1.0	-37032.937060666154	0.0	-19.75536253513916
88000	-37054.85657124775	-19.552657619469446	-37035.30391362828	0.23072383590597337	2.645405270622274	0.6691242989807262	2.9616917172583164	0.32416071555584003	0.2535567455205074	0.11806960800800259	0.30421293091565005	1.0	1.0	-37035.30391362828	0.0	-19.51600624752013
89000	-37052.47797024723	-21.58966297303803	-37030.88830727419	0.2172166024393934	2.599337153761221	1.2478548079266671	2.6136142949591052	0.3303842335217945	0.2531466820890685	0.11806960800800259	0.29839947638113445	1.0	1.0	-37030.88830727419	0.0	-21.056687002961873
90000	-37049.63694426006	-20.148306376516278	-37029.48863788354	0.21554472703292105	2.6585154570337433	0.8066759511717543	2.7658941370522987	0.32987346157876013	0.2531824141196387	0.1173064390552919	0.2996376852463093	1.0	1.0	-37029.48863788354	0.0	-19.99535655829285
91000	-37055.62270441511	-22.409714341042736	-37033.21299007407	0.21773579150076783	2.7395882143379344	0.6654414229333291	2.84026246389279	0.32830143463601746	0.2531824141196387	0.11887846599803457	0.2996376852463093	1.0	1.0	-37033.21299007407	0.0	-22.422183317822373
92000	-37053.81839560664	-21.665622085241303	-37032.152773521404	0.21874384277527775	2.6993924713240847	0.6909279469496066	2.84026246389279	0.33058340003576786	0.251970085695527	0.11808671953101865	0.29935979473768654	1.0	1.0	-37032.152773521404	0.0	-21.640506131606553
93000	-37054.80211031035	-19.772672925746395	-37035.029437384605	0.20757177059930823	2.5419504846461094	1.019814030772277	2.7690324603859944	0.33058340003576786	0.2533134909179901	0.11808671953101865	0.2980163895152234	1.0	1.0	-37035.029437384605	0.0	-19.38412255978181
94000	-37055.39148769468	-18.88490623622013	-37036.50658145846	0.2093464071773422	2.5330201561961667	0.8226886144595774	2.7381197847021013	0.3266583903426872	0.24700458861847102	0.12021274731754983	0.30612427372129203	1.0	1.0	-37036.50658145846	0.0	-18.722472730450868
95000	-37043.63094096384	-18.123447976459545	-37025.50749298738	0.21315996736065698	2.5446255745768367	0.7870243693131973	2.736858752928143	0.32517320250585746	0.2572427682213905	0.11910189087240633	0.2984821384003457	1.0	1.0	-37025.50749298738	0.0	-18.005795761320048
96000	-37052.059701033155	-19.614657173093235	-37032.44504386006	0.2148827130044824	2.5913443655465485	0.9535043730821023	2.7440424106916335	0.3200793552476382	0.26565375166051075	0.11563427015418933	0.2986326229376618	1.0	1.0	-37032.44504386006	0.0	-19.302485190892636
97000	-37045.293081004034	-18.442887006241083	-37026.850193997794	0.2176348415014108	2.5766268043290577	0.7435008293413709	2.6030618336210614	0.32085724131592186	0.2570315107115683	0.12347862503484808	0.2986326229376618	1.0	1.0	-37026.850193997794	0.0	-18.43166112131071
98000	-37048.93781464374	-19.49204218050437	-37029.44577246323	0.22419762398808304	2.6488535840946694	0.7810392918765169	2.8880621847668877	0.3277549558071605	0.2527569082174528	0.12032019298480494	0.29916794299058186	1.0	1.0	-37029.44577246323	0.0	-19.32708903035381
99000	-37049.887164771564	-18.911105984450284	-37030.97605878711	0.20852630911698242	2.507781556034813	0.9961210311610035	2.8880621847668877	0.3287139056233023	0.251797958401311	0.11994546214259587	0.29954267383279093	1.0	1.0	-37030.97605878711	0.0	-18.502909525143064
100000	-37055.3229921573	-19.883172358106965	-37035.43981979919	0.21530284330359978	2.5809980131041654	0.9400252202359265	2.7215813787249217	0.3287139056233023	0.251797958401311	0.11994546214259587	0.29954267383279093	1.0	1.0	-37035.43981979919	0.0	-19.593484745395827
101000	-37053.35862665072	-22.163247487368945	-37031.19537916335	0.21704444632127692	2.71929680236577	0.646551500909514	2.666262082288317	0.3287139056233023	0.25305392524724396	0.11994546214259587	0.29828670698685794	1.0	1.0	-37031.19537916335	0.0	-22.268230298003207
